SOURCE,APPRAISALSOURCE,SERIES,SERIESID,FREQUENCY,GEOLEVEL,GEONAME,STATEPOSTAL,STATEFIPS,FIPS,TRACT,METRO,PURPOSE,YEAR,QUARTER,CHARACTERISTIC1,CATEGORY1,SUPPRESSED,VALUE
UAD,Enterprise Single Family,Count of Appraisals,COUNT,Quarterly,County,Autauga County,AL,1,1001,,,Purchase,2013,5,No Characteristic,All Appraisals,0,255.0
UAD,Enterprise Single Family,Count of Appraisals,COUNT,Quarterly,County,Autauga County,AL,1,1001,,,Refinance,2013,5,No Characteristic,All Appraisals,0,371.0
UAD,Enterprise Single Family,Count of Appraisals,COUNT,Quarterly,County,Autauga County,AL,1,1001,,,Both,2013,5,No Characteristic,All Appraisals,0,626.0
UAD,Enterprise Single Family,Count of Appraisals,COUNT,Quarterly,County,Autauga County,AL,1,1001,,,Purchase,2013,1,No Characteristic,All Appraisals,0,55.0
UAD,Enterprise Single Family,Count of Appraisals,COUNT,Quarterly,County,Autauga County,AL,1,1001,,,Refinance,2013,1,No Characteristic,All Appraisals,0,128.0
UAD,Enterprise Single Family,Count of Appraisals,COUNT,Quarterly,County,Autauga County,AL,1,1001,,,Both,2013,1,No Characteristic,All Appraisals,0,183.0
UAD,Enterprise Single Family,Count of Appraisals,COUNT,Quarterly,County,Autauga County,AL,1,1001,,,Purchase,2013,2,No Characteristic,All Appraisals,0,67.0
UAD,Enterprise Single Family,Count of Appraisals,COUNT,Quarterly,County,Autauga County,AL,1,1001,,,Refinance,2013,2,No Characteristic,All Appraisals,0,126.0
UAD,Enterprise Single Family,Count of Appraisals,COUNT,Quarterly,County,Autauga County,AL,1,1001,,,Both,2013,2,No Characteristic,All Appraisals,0,193.0
UAD,Enterprise Single Family,Count of Appraisals,COUNT,Quarterly,County,Autauga County,AL,1,1001,,,Purchase,2013,3,No Characteristic,All Appraisals,0,75.0
UAD,Enterprise Single Family,Count of Appraisals,COUNT,Quarterly,County,Autauga County,AL,1,1001,,,Refinance,2013,3,No Characteristic,All Appraisals,0,68.0
UAD,Enterprise Single Family,Count of Appraisals,COUNT,Quarterly,County,Autauga County,AL,1,1001,,,Both,2013,3,No Characteristic,All Appraisals,0,143.0
UAD,Enterprise Single Family,Count of Appraisals,COUNT,Quarterly,County,Autauga County,AL,1,1001,,,Purchase,2013,4,No Characteristic,All Appraisals,0,58.0
UAD,Enterprise Single Family,Count of Appraisals,COUNT,Quarterly,County,Autauga County,AL,1,1001,,,Refinance,2013,4,No Characteristic,All Appraisals,0,49.0
UAD,Enterprise Single Family,Count of Appraisals,COUNT,Quarterly,County,Autauga County,AL,1,1001,,,Both,2013,4,No Characteristic,All Appraisals,0,107.0
UAD,Enterprise Single Family,Count of Appraisals,COUNT,Quarterly,County,Autauga County,AL,1,1001,,,Purchase,2014,5,No Characteristic,All Appraisals,0,320.0
UAD,Enterprise Single Family,Count of Appraisals,COUNT,Quarterly,County,Autauga County,AL,1,1001,,,Refinance,2014,5,No Characteristic,All Appraisals,0,245.0
UAD,Enterprise Single Family,Count of Appraisals,COUNT,Quarterly,County,Autauga County,AL,1,1001,,,Both,2014,5,No Characteristic,All Appraisals,0,565.0
UAD,Enterprise Single Family,Count of Appraisals,COUNT,Quarterly,County,Autauga County,AL,1,1001,,,Purchase,2014,1,No Characteristic,All Appraisals,0,67.0
UAD,Enterprise Single Family,Count of Appraisals,COUNT,Quarterly,County,Autauga County,AL,1,1001,,,Refinance,2014,1,No Characteristic,All Appraisals,0,56.0
UAD,Enterprise Single Family,Count of Appraisals,COUNT,Quarterly,County,Autauga County,AL,1,1001,,,Both,2014,1,No Characteristic,All Appraisals,0,123.0
UAD,Enterprise Single Family,Count of Appraisals,COUNT,Quarterly,County,Autauga County,AL,1,1001,,,Purchase,2014,2,No Characteristic,All Appraisals,0,96.0
